"key","household"
"台中市大里區永隆里",3905
"台中市大里區瑞城里",4322
"台中市大里區祥興里",2974
"台中市大里區立仁里",2083
"台中市大里區立德里",2907
"台中市大里區西榮里",2379
"台中市大里區西湖里",1041
"台中市大里區金城里",3864
"台中市大里區長榮里",3477
"台中市大雅區三和里",1825
"台中市大雅區上楓里",2144
"台中市大雅區上雅里",2143
"台中市大雅區二和里",2242
"台中市大雅區六寶里",2325
"台中市大雅區員林里",3204
"台中市大雅區四德里",1661
"台中市大雅區大楓里",1765
"台中市大雅區大雅里",1690
"台中市大雅區忠義里",1667
"台中市大雅區文雅里",2274
"台中市大雅區橫山里",1429
"台中市大雅區秀山里",1046
"台中市大雅區西寶里",1643
"台中市大雅區雅楓里",1395
"台中市太平區中山里",1754
"台中市太平區中平里",1606
"台中市太平區中政里",1478
"台中市太平區中興里",1265
"台中市太平區光明里",1576
"台中市太平區光華里",1977
"台中市太平區光隆里",1120
"台中市太平區勤益里",875
"台中市太平區坪林里",1223
"台中市太平區大興里",950
"台中市太平區太平里",2004
"台中市太平區宜佳里",2420
"台中市太平區宜昌里",1536
"台中市太平區宜欣里",2379
"台中市太平區平安里",825
"台中市太平區建國里",1086
"台中市太平區建興里",1224
"台中市太平區德隆里",1812
"台中市太平區成功里",1515
"台中市太平區新光里",2653
"台中市太平區新吉里",2065
"台中市太平區新坪里",3076
"台中市太平區新城里",2169
"台中市太平區新福里",2282
"台中市太平區新興里",1869
"台中市太平區新高里",2259
"台中市太平區東和里",1059
"台中市太平區東平里",1580
"台中市太平區東汴里",451
"台中市太平區永平里",1552
"台中市太平區永成里",2469
"台中市太平區永隆里",949
"台中市太平區福隆里",1333
"台中市太平區聖和里",603
"台中市太平區興隆里",1233
"台中市太平區豐年里",1685
"台中市太平區長億里",2245
"台中市太平區頭汴里",675
"台中市太平區黃竹里",318
"台中市新社區中和里",220
"台中市新社區中正里",504
"台中市新社區中興里",315
"台中市新社區協成里",1007
"台中市新社區大南里",694
"台中市新社區崑山里",362
"台中市新社區復盛里",694
"台中市新社區慶西里",295
"台中市新社區新社里",1190
"台中市新社區月湖里",368
"台中市新社區東興里",416
"台中市新社區永源里",952
"台中市新社區福興里",488
"台中市東勢區上城里",386
"台中市東勢區上新里",399
"台中市東勢區下城里",355
